Nombre;Ingredientes;Categorias;Calorias;Tiempo
Bandeja Paisa;Frijoles, arroz, carne molida, chicharron, chorizo, huevo frito, platano maduro, aguacate, arepa;Tradicional colombiana, Alta en calorias, Antioquena;2200;90
Ajiaco Bogotano;Papa criolla, papa sabanera, papa pastusa, pollo, maiz, guascas, crema de leche, alcaparras, aguacate;Sopa, Tradicional colombiana, Bogotana;650;60
Sancocho de Gallina;Gallina, yuca, platano verde, papa, mazorca, cilantro, cebolla, ajo;Sopa, Tradicional colombiana, Reconfortante;870;120
Empanadas Colombianas;Harina de maiz, carne molida, papa, cebolla, tomate, comino, aceite para freir;Comida rapida, Snack, Frito;350;45
Arepa con Queso;Harina de maiz precocido, agua, sal, queso fresco, mantequilla;Desayuno, Comida rapida, Vegetariana;280;20
Arroz Atollado;Arroz, pollo, cerdo, chorizo, papa, zanahoria, cebolla, ajo, cilantro;Tradicional colombiana, Valluna, Reconfortante;985;75
Lechona Tolimense;Cerdo, arroz, arveja, cebolla, ajo, especias, piel de cerdo;Festivo, Tradicional colombiana, Tolimense;754;480
Patacones;Platano verde, aceite, sal, ajo;Acompanamiento, Frito, Vegano, Comida rapida;220;15
Mazamorra Paisa;Maiz peto, leche, panela, canela;Postre, Dulce, Tradicional colombiana, Antioquena;320;180
Pandebono;Almidon de yuca, queso fresco, harina de maiz, huevo, sal;Panaderia, Snack, Valluno, Desayuno;180;30
Mote de Queso;Name, queso costeno, suero costeno, cebolla, tomate, ajo;Sopa, Tradicional colombiana, Costena;580;50
Changua;Leche, huevo, agua, cebolla larga, cilantro, pan;Desayuno, Sopa, Tradicional colombiana, Bogotana;240;15
Sopa de Lentejas;Lentejas, zanahoria, papa, chorizo, cebolla, ajo, tomate, cilantro;Sopa, Saludable, Reconfortante;420;45
Arroz con Leche;Arroz, leche, azucar, canela, pasas, ralladura de limon;Postre, Dulce, Tradicional colombiana;310;40
Natilla;Leche, panela, maicena, canela, pasas, coco rallado;Postre, Navideno, Tradicional colombiana;290;30
Bunuelos;Queso costeno, harina de maiz, almidon de yuca, huevo, azucar;Postre, Navideno, Frito;160;35
Cocadas;Coco rallado, panela, azucar, canela, clavo de olor;Postre, Dulce, Costeno;195;25
Brevas con Arequipe;Brevas, panela, canela, arequipe, queso fresco;Postre, Dulce, Tradicional colombiana;385;90
Obleas;Obleas, arequipe, queso rallado, mermelada de mora;Postre, Snack, Comida rapida;270;5
Tamal;Masa de maiz, cerdo, pollo, arroz, zanahoria, arveja, huevo, papa;Tradicional colombiana, Festivo, Desayuno;650;180
Caldo de Costilla;Costilla de res, papa, cebolla, ajo, cilantro, sal, comino;Sopa, Desayuno, Tradicional colombiana, Bogotana;380;90
Mondongo;Mondongo, papa, zanahoria, cebolla, tomate, ajo, cilantro, comino;Sopa, Tradicional colombiana, Antioquena;520;150
Fritanga;Chicharron, morcilla, chorizo, costilla, papa criolla, platano;Festivo, Frito, Tradicional colombiana;1400;60
Hogao;Tomate, cebolla larga, ajo, aceite, comino, sal;Salsa, Acompanamiento, Vegano, Base;85;15
Arroz con Coco;Arroz, leche de coco, coco rallado, sal, azucar;Acompanamiento, Costeno, Tradicional colombiana;340;30
Cazuela de Mariscos;Camarones, almejas, calamar, leche de coco, hogao, arroz, cilantro;Mariscos, Costeno, Tradicional colombiana;620;45
Posta Negra;Carne de res, panela, cebolla, ajo, comino, pimienta, vinagre;Carne, Tradicional colombiana, Costena;480;120
Envueltos de Mazorca;Mazorca rallada, queso, mantequilla, sal, azucar;Snack, Vegetariana, Tradicional colombiana;210;40
Sopa de Pasta;Pasta, papa, zanahoria, cebolla, pollo, cilantro, ajo;Sopa, Reconfortante, Cotidiana;390;35
Chorizos Colombianos;Cerdo, tocino, ajo, comino, sal, pimienta, aji;Embutido, Festivo, Proteina;310;30
Sancocho Trifasico;Pollo, res, cerdo, yuca, platano, mazorca, papa, cilantro, ajo;Sopa, Festivo, Tradicional colombiana;950;150
Lengua en Salsa;Lengua de res, tomate, cebolla, ajo, pimenton, laurel, comino;Carne, Tradicional colombiana, Festivo;430;180
Almojabanas;Harina de maiz, queso, mantequilla, huevo, leche;Panaderia, Desayuno, Snack, Antioquena;190;35
Arroz Paisa;Arroz, frijoles, huevo, chicharron, hogao, aguacate;Tradicional colombiana, Antioquena, Contundente;780;50
Aji de Mani;Mani, aji, cebolla, ajo, cilantro, leche, sal;Salsa, Acompanamiento, Vegetariana;130;20
Ceviche de Camarones;Camarones, limon, tomate, cebolla, cilantro, aji, sal;Mariscos, Frio, Costeno, Saludable;220;15
Champus;Maiz peto, lulo, guanabana, mora, pina, panela, hojas de naranjo, clavo;Bebida, Postre, Tradicional colombiana, Valluno;280;90
Masato de Arroz;Arroz, panela, canela, clavo, pina, agua;Bebida, Dulce, Tradicional colombiana;200;60
Papa Chorreada;Papa, hogao, crema, queso, cilantro;Acompanamiento, Vegetariana, Bogotana;310;30
Dulce de Papayuela;Papayuela, panela, canela, clavo, limon;Postre, Dulce, Tradicional colombiana;180;120
