Nombre;Descripcion;Calorias;Tiempo;SlugUrl;Estado;ImagenArchivo;ImagenUrl;VideoUrl;Ingredientes;Pasos;Categorias
Bandeja Paisa;El plato emblema de Antioquia, una bandera gastronómica colombiana con frijoles, arroz, carne molida, chicharrón, chorizo y más acompañantes.;2200;90;bandeja-paisa;publicado;bandeja-paisa.jpg;;;Frijoles:300g,Arroz:200g,Carne molida:200g,Chicharron:150g,Chorizo:2 unidades,Huevo frito:1 unidad,Platano maduro:1 unidad,Aguacate:1/2 unidad,Arepa:1 unidad;Cocinar los frijoles con hogao hasta que estén tiernos|Preparar arroz blanco y reservar caliente|Freír el chicharrón y el chorizo por separado|Cocinar la carne molida con hogao, comino y sal|Freír el huevo al gusto y armar el plato con todos los componentes;Tradicional colombiana,Alta en calorias,Antioquena
Ajiaco Bogotano;Sopa bogotana por excelencia, preparada con tres tipos de papa, pollo desmenuzado y la hierba de guascas que le da su sabor único.;650;60;ajiaco-bogotano;publicado;ajiaco-bogotano.jpg;;;Papa criolla:200g,Papa sabanera:200g,Papa pastusa:200g,Pollo:500g,Maiz:1 mazorca,Guascas:2 cucharadas,Crema de leche:100ml,Alcaparras:2 cucharadas,Aguacate:1 unidad;Hervir el pollo con agua, cebolla, ajo y sal hasta que esté cocido|Desmenuzar el pollo y reservar el caldo|Agregar al caldo las tres papas troceadas y el maíz|Cocinar a fuego medio hasta que la papa criolla se deshaga y espese|Añadir las guascas y servir con crema, alcaparras y aguacate;Sopa,Tradicional colombiana,Bogotana
Sancocho de Gallina;Caldo reconfortante y robusto hecho con gallina criolla, yuca, plátano y mazorca. Plato festivo en toda Colombia.;870;120;sancocho-de-gallina;publicado;sancocho-gallina.jpg;;;Gallina:1 unidad,Yuca:300g,Platano verde:1 unidad,Papa:300g,Mazorca:2 unidades,Cilantro:1 rama,Cebolla:1 unidad,Ajo:4 dientes;Trocear la gallina y dorarla con ajo, cebolla y comino|Cubrir con abundante agua y hervir 40 minutos|Añadir yuca, mazorca y papa troceadas|Cocinar otros 30 minutos hasta que todo esté blando|Ajustar sal, agregar cilantro y servir con arroz y aguacate;Sopa,Tradicional colombiana,Reconfortante
Empanadas Colombianas;Masas de maíz rellenas de papa con carne molida, fritas hasta quedar crujientes. Infaltables en ferias y fritangas.;350;45;empanadas-colombianas;publicado;empanadas-colombianas.jpg;;;Harina de maiz:300g,Carne molida:200g,Papa:200g,Cebolla:1 unidad,Tomate:1 unidad,Comino:1 cucharadita,Aceite para freir:500ml;Sofreír cebolla, tomate y carne con comino|Cocer la papa y mezclarla con el guiso de carne|Preparar la masa con harina, agua tibia y sal|Armar las empanadas rellenando y sellando bien los bordes|Freír en aceite caliente hasta que estén doradas y crujientes;Comida rapida,Snack,Frito
Arepa con Queso;Arepa de maíz precocido, suave por dentro y doradita por fuera, con queso fresco derretido. Desayuno clásico colombiano.;280;20;arepa-con-queso;publicado;arepa-con-queso.jpg;;;Harina de maiz precocido:200g,Agua:250ml,Sal:1 cucharadita,Queso fresco:100g,Mantequilla:1 cucharada;Mezclar harina con agua tibia y sal hasta obtener una masa suave|Formar arepas redondas de 1 cm de grosor|Cocinar en budare o sartén hasta dorar por ambos lados|Abrir la arepa caliente, añadir queso y mantequilla|Servir de inmediato mientras el queso está derretido;Desayuno,Comida rapida,Vegetariana
Arroz Atollado;Arroz caldoso al estilo vallecaucano, cocinado con pollo, cerdo, chorizo y verduras. Reconfortante y lleno de sabor.;985;75;arroz-atollado;publicado;arroz-atollado.jpg;;;Arroz:300g,Pollo:250g,Cerdo:200g,Chorizo:2 unidades,Papa:150g,Zanahoria:1 unidad,Cebolla:1 unidad,Ajo:3 dientes,Cilantro:1 rama;Sofreír cebolla, ajo, zanahoria y carnes troceadas|Agregar el arroz y revolver con el sofrito|Cubrir con caldo caliente y cocinar a fuego medio|Añadir papa y chorizo en rodajas a mitad de cocción|Cocinar hasta que el arroz quede caldoso, servir con cilantro;Tradicional colombiana,Valluna,Reconfortante
Lechona Tolimense;Cerdo entero relleno de arroz, arvejas y especias, horneado durante horas hasta lograr un cuero crocante inigualable.;754;480;lechona-tolimense;publicado;lechona-tolimense.jpg;;;Cerdo:5000g,Arroz:500g,Arveja:300g,Cebolla:2 unidades,Ajo:1 cabeza,Especias:al gusto,Piel de cerdo:1 unidad;Deshuesar el cerdo y marinar con ajo, cebolla, comino y achiote|Preparar el relleno con arroz, arvejas y el sazonador|Rellenar el cerdo y coser o amarrar bien|Hornear a 180°C durante 6-8 horas girando a mitad|Subir temperatura los últimos 30 min para crocantear el cuero;Festivo,Tradicional colombiana,Tolimense
Patacones;Tajadas de plátano verde aplastadas y fritas dos veces. Acompañamiento versátil y favorito en la costa colombiana.;220;15;patacones;publicado;patacones.jpg;;;Platano verde:2 unidades,Aceite:300ml,Sal:al gusto,Ajo:2 dientes;Pelar el plátano verde y cortarlo en rodajas gruesas|Freír las rodajas en aceite caliente hasta dorarse ligeramente|Retirar, aplastar con un tostonero o plato y sazonar con ajo|Volver a freír hasta que estén crocantes por fuera|Escurrir y servir con hogao, guacamole o suero;Acompanamiento,Frito,Vegano,Comida rapida
Mazamorra Paisa;Postre tradicional antioqueño de maíz peto cocinado en leche con panela. Cremoso, dulce y profundamente nostálgico.;320;180;mazamorra-paisa;publicado;mazamorra-paisa.jpg;;;Maiz peto:300g,Leche:500ml,Panela:150g,Canela:1 rama;Remojar el maíz peto la noche anterior|Cocinar el maíz en agua durante 2 horas hasta que reviente|Agregar leche, panela rallada y canela|Cocinar a fuego lento revolviendo constantemente|Servir tibio o frío, solo o con bocadillo;Postre,Dulce,Tradicional colombiana,Antioquena
Pandebono;Pan de queso vallecaucano hecho con almidón de yuca y queso fresco. Esponjoso, quesudo y perfecto recién salido del horno.;180;30;pandebono;publicado;pandebono.jpg;;;Almidon de yuca:200g,Queso fresco:150g,Harina de maiz:50g,Huevo:1 unidad,Sal:1 pizca;Rallar el queso fresco y mezclarlo con el almidón y harina|Agregar el huevo y amasar hasta obtener una masa uniforme|Formar bolas del tamaño de una pelota de golf|Hornear a 200°C durante 15-20 minutos hasta dorar|Servir caliente acompañado de chocolate o café;Panaderia,Snack,Valluno,Desayuno
